,user_id,business_id,date,pre_stars
0,PfpRvMAESbC2bC8FUIMdNg,Kbbm6Vd5UdbP10dwjBghRw,2018-10-15 00:52:18,3.7
1,oaaEXgQ3x51cXE3GTXrT1Q,2GmGT-7QjowR1ihup3FbVA,2011-11-27 09:12:59,4.0
2,yT_QCcnq-QGipWWuzIpvtw,pOEL97ld-FJMKO8Ki8JmYg,2016-03-11 19:09:08,3.0
3,fRVNHAl2RjosC67Y67G3cA,UkWme3kwg6L9rd4tCNB15w,2016-09-11 15:53:24,3.0
4,48vRThjhuhiSQINQ2KV8Sw,LNGBEEelQx4zbfWnlc66cw,2011-03-23 03:22:10,3.9
5,q5FQmuXxzPEsvEtA_Mvd1w,fSBhe0A6Dfa8JCYccfpMog,2013-08-09 22:06:14,4.8
6,W0VE9M7Dikrpol8j1_QqyQ,3oTVApC-eUzpGjrOVxIr5g,2017-09-07 02:27:04,3.8
7,avmRUkWovTsaDqKiNKdivQ,wUKzaS1MHg94RGM6z8u9mw,2012-10-25 19:31:03,3.7
8,NjLRgbRZiwEIMpAgXypJtw,cTZmf7B-4yciMc1WKiCVOA,2007-02-25 16:20:45,5.0
9,76vIFZcC7owykCBjMfGVXg,KkmPDIWzvwbBpyqOHT6pcQ,2012-05-29 19:35:43,3.9
10,ERcsc0YO5CCUbkC8EV2INg,hDyc9DdjGldhxis5E1rd3w,2017-08-20 21:08:57,3.0
11,FOoN3DJzDUnl4EAQaTJIGg,dEAk-gE-5Q95a7p91gNn8A,2014-03-27 02:20:28,4.3
12,_VMGbmIeK71rQGwOBWt_Kg,beuVp5CZxCdNvQIIPBS2rw,2017-05-21 10:30:28,4.4
13,veeaBpjDwo-xfHSz3z3PWg,Q0EZmATxDphzRMszNV2LVg,2014-09-30 19:25:49,3.7
14,1i3WvtGsIW8FGOFLvHHFMw,xjjxHavx4RIiW6zS6rasGA,2017-07-15 15:15:10,4.3
15,WXDj6mmyrJi5q5nHKJ6H7w,2LNnIARy-lGmrlEMZSxZ1w,2018-05-14 19:25:56,4.5
16,UrQw8IyTOAAlokN-SMK3_Q,LVLctMJ018ShlsFkIuYGTg,2017-01-07 06:29:38,4.0
17,ciXjBfJrAEteIKpzZg4I9g,WCqcYtJ4rUxA4bIzjOfzqg,2017-09-01 15:26:40,4.0
18,Znid_azpcHmdRMHGicmkWA,XwmJBX-BMUq47zYaUeYjug,2018-04-08 17:48:42,3.0
19,4V6vZgVCfEfYwXFK3tnTQQ,RrCgc8eAKbHu-2IpQXg6Rw,2017-09-08 00:39:31,4.2
20,6GT6kAIyCT9MA7y1ZN_PUw,8-_jXGGDFPFAPB4r1x-81w,2017-04-06 00:02:22,3.0
21,pWEzY3YY0zEAJLlGSSucrQ,VfFHPsPtTW4Mgx0eHDyJiQ,2014-03-26 01:36:18,2.0
22,nXMMoDzXRByQiWH9cf-FAQ,URFhSrJPk7JM2pUtsuWsAg,2011-12-31 03:25:10,3.5
23,LDu8Kn3k1CZHY5sEq3bLPQ,-LzUYsR54hd8cCiYXTquRA,2018-12-12 19:10:00,3.0
24,niKu4se6xtf-ctlm0udr1w,mnwRtuVQEsIUomBchu0gwg,2012-10-09 18:24:47,4.3
25,1sGYXSkJHPhJ6wQtc-RbZw,dg5cg298SXZVMo4ZEwSUtg,2012-06-20 08:16:17,4.5
26,22dqLO1If5t3j06a2gd7lA,9a3DrZvpYxVs3k_qwlCNSw,2015-12-30 16:16:28,3.9
27,owlUazXSDLaxlOV7z8181g,kbaXNZLUyVuWbeQxH-NNKw,2016-07-24 04:42:59,3.0
28,TprC8sujz8MkwuomrqUSiw,P7pxQFqr7yBKMMI2J51udw,2011-06-27 15:48:45,4.2
29,ACMYTmlycF2-HgSZ8lyC0A,S599hCA4kJJO3_b6SRFKoA,2018-09-05 19:36:11,4.2
30,bhJ6ivAuSpgXP4JiKWjSZQ,W2CzAePJakvARgoQuohbOA,2008-08-16 00:27:24,4.5
31,TdYKJgSgY2GF_YJnwsi5yQ,So132GP_uy3XbGs0KNyzyw,2014-02-25 22:57:40,4.2
32,y3FcL4bLy0eLlkb0SDPnBQ,UYh1N1xQhOh-a7nX92xPzQ,2013-11-17 18:45:06,3.8
33,TUOj8sUc4eyEe35ZUZN4ZQ,w12x7UBSSRsdbp3ZqguG3Q,2018-07-30 11:11:57,4.1
34,3nDUQBjKyVor5wV0reJChg,gJd1jOcl5FdqY020Q19n6Q,2012-03-26 15:42:39,4.4
35,5Wg5OanfZ4-2dCxEo-qjsw,UYh1N1xQhOh-a7nX92xPzQ,2014-10-15 01:12:11,3.8
36,-C-l8EHSLXtZZVfUAUhsPA,p8HvhJZ-_EHhmUVmZN15gg,2014-06-08 02:18:00,3.0
37,v3YOx9T4jRSw8XP9Rd9H4g,qqs7LP4TXAoOrSlaKRfz3A,2012-07-06 23:45:36,4.1
38,6jz_Yr6_AP2WWLbj9gGDpA,Jsfag1tWh3I408hDTcA7EQ,2011-05-21 06:21:16,3.6
39,PFENoZUD77aioJGrnllIKA,XXW_OFaYQkkGOGniujZFHg,2015-11-23 12:02:49,2.9
40,v6SrDjzqb3oS6CbHB0xjPw,2skQeu3C36VCiB653MIfrw,2013-12-17 03:49:22,3.7
41,cMEtAiW60I5wE_vLfTxoJQ,SkO0Kd4_bO4VWTzCa_k8_g,2015-11-28 18:46:43,3.5
42,9PODl32fViCXhN4NxBdGPQ,hIUKufhwR6Ifn7bi0-phLA,2018-05-13 19:36:59,4.6
43,iAevEfcmtCr2cpd6IRqnTA,5LNZ67Yw9RD6nf4_UhXOjw,2011-01-07 01:59:17,4.3
44,kmE8w5Y785eZmodsx0V6Ag,JmI9nslLD7KZqRr__Bg6NQ,2011-05-14 14:52:43,4.1
45,V6Cjj3SVmMqCrr6uJqvlPw,n7V4cD-KqqE3OXk0irJTyA,2018-01-15 21:32:46,2.6
46,loG8W6cOsNFollQeGYO-Ew,TtbCOwOpNNzE7fW5CFwyng,2012-11-17 03:03:02,4.3
47,ELcQDlf69kb-ihJfxZyL0A,_n3w5BK4-k7iXCWifCjUZg,2014-05-23 15:58:02,4.5
48,m1X96vPIYRja96l0O0G-3Q,uKKNw68mZZaa1jcyszEbyA,2013-10-20 18:09:45,4.4
49,SCo1UBoeN3bhRMkSYuiX1A,xR1gLCH5resvtq1eV1nebg,2014-05-31 19:45:18,4.1
50,9pNcdrQLWWrX0vEGGJlEbg,vUnmi0uI8p35RxYAEH4Nlw,2018-05-15 21:04:01,4.2
51,5RhE6tDc2xH6ySYGiSjiGQ,QCCVxVRt1amqv0AaEWSKkg,2019-07-10 22:17:17,4.0
52,B1829_hxXSEpDPEDJtYeIw,C6C_dc78Zhzei9wrZs-tdQ,2015-07-21 09:03:26,2.4
53,CUMaqXDakJeMTkUjpI8FxA,KQfNXddjM-sinrmWrFiSyQ,2017-05-13 02:21:26,2.0
54,BQkC6RneYfvfG6wRe0hsvQ,LNGBEEelQx4zbfWnlc66cw,2013-03-30 03:05:16,3.7
55,UvY0E6Wuhv_0Bita52RPOw,XE6kf2bviFBdGmVI_SJpmA,2007-03-11 17:50:27,2.5
56,0nOIH8qIMnmZdLCTemnRsw,A-uZAD4zP3rRxb44WUGV5w,2017-08-23 03:54:38,4.2
57,d_TBs6J3twMy9GChqUEXkg,poYsvuOmVDqF4dTnjJ780A,2015-08-16 23:45:58,3.7
58,7L8utEpYiVj3pNNjZkQaLQ,Gt4z3AylNTsEPDkzkaC7HA,2013-10-12 06:41:23,4.0
59,82kxXl_1K8M3cU66dhB8lw,GMrwDXRlAZU2zj5nH6l4vQ,2016-05-24 22:56:33,4.2
60,yEmeRQb4WH6NN0IAaTX_lw,lOQPeguczAueJnLmDUTfGg,2015-07-11 19:57:45,4.5
61,2EuPAGalYnP7eSxPgFCNDg,E_7RIDFNQfxREnI_E5h0uA,2019-04-24 23:53:51,3.9
62,wXZS42D0L8hoCiSh2Krc_A,iqntlaqSCB4hkzTzlPlEmQ,2018-03-30 01:33:01,4.5
63,82GOQIPlSzLvRphl9MzRhw,JPWg9acsCv_om9UFYGMJbA,2017-06-01 04:19:10,4.0
64,klN7Yw_aVUBscqhlkpKkRA,qVO3l9Q0-KVQE7W9JL9ePw,2012-11-29 06:53:39,3.9
65,Ksp1e9Dw0Jcog_ZBD3-45g,sKA6EOpxvBtCg7Ipuhl1RQ,2018-01-08 22:13:39,4.1
66,C2C0GPKvzWWnP57Os9eQ0w,7wHLFohwCw8l6WS-feLjeg,2015-03-25 20:39:51,4.7
67,3uPAF2-YwiTUN5NvVH6pIQ,VrIskBdLuRxS0HsSimJOhA,2014-06-12 03:20:49,3.5
68,L8P5OWO1Jh4B2HLa1Fnbng,DZwR0EIPKlmC3mMLhTkqcQ,2016-05-13 23:17:33,4.3
69,f1-ADSATZKZRdKznOcIpOQ,RADloW1UROUn4FJFU4JJNg,2015-01-25 05:59:00,3.0
70,LBnjYRrpTKgtGkW0ea7Ecg,Cly7wJhbXIDID_quND01_w,2018-06-15 05:58:42,5.0
71,qewG3X2O4X6JKskxyyqFwQ,_nL5u09k7J7XAww1_UJ-tw,2012-12-05 18:41:38,4.0
72,whINg-cC-FiAv_ATDGMDTg,t-o_Sraneime4DDhWrQRBA,2015-03-31 15:21:57,4.7
73,co64BGDz5U4i-VOwhJgn5Q,o7AiTlyWUrBSzdz6oMHj5w,2013-02-18 21:18:54,2.3
74,x-8ZMKKNycT3782Kqf9loA,eaNenRk_liZBERFFLCXqqQ,2017-06-25 05:22:38,4.8
75,0mvmUHuGQL2kRRkX14CkTw,Ns20WGWn6s6niKAGIQB4UQ,2012-04-30 05:01:32,4.5
76,ZUnmsVs1Vdp9_UtG41u7mw,HGhXbgeMEcg1cIZwxyNDeg,2011-08-21 05:40:27,4.3
77,N044aCKJv3G5WuvwT5AJcA,jgtWfJCJZty_Nctqpdtp3g,2008-09-27 05:11:18,4.0
78,18qEoFOVEernpVLh97PQPQ,G8k2E3oYHHl2o4lNJQwR-g,2016-06-18 12:38:06,4.0
79,-rr8yexI0JRT_pqyNgu6jg,1d6c6Q2j2jwVzBfX_dLHlg,2017-06-11 01:19:46,3.3
